stage,K,N,M,threads,m_ms,n_ms,winner,n_over_m,m_gflops,n_gflops
w13,4096,1024,1024,4,16.902395499999997,15.840151500000001,n,0.9371542335522798,508.2081171275398,542.2886638426406
w13,4096,1024,1024,8,9.084592,8.819428,n,0.9708116776185435,945.5498487989335,973.97865167673
w13,4096,1024,2048,4,33.846856,31.6359375,n,0.9346787630732969,507.5765141672243,543.0491568015015
w13,4096,1024,2048,8,19.091569,17.687072999999998,n,0.9264337048463643,899.8668042422286,971.3234735900057
w13,4096,1024,4096,4,70.163601,63.3220685,n,0.9024917136165802,489.7088786534773,542.6186980610086
w13,4096,1024,4096,8,38.711870000000005,35.327409,n,0.9125730428418983,887.5763007057006,972.6085025935528
w13,4096,1024,8192,4,139.659692,126.64658800000001,n,0.9068227645812079,492.04946503820156,542.6081967245734
w13,4096,1024,8192,8,77.1311265,70.5510755,n,0.9146900700328809,890.943512098193,974.0386840169432
w13,4096,1024,16384,4,284.2177275,253.173313,n,0.8907724202389873,483.56925052115196,542.8650904923775
w13,4096,1024,16384,8,152.262874,140.80370249999999,n,0.9247408695306775,902.6425803049009,976.1032631368482
w13,4096,1024,32768,4,561.880469,506.37057749999997,n,0.9012069389085671,489.2106455189849,542.8394127895396
w13,4096,1024,32768,8,304.1986405,283.6722855,n,0.9325231862763699,903.6131998887089,968.998104483492
w13,4096,1024,65536,4,1121.5991865,1013.033125,n,0.9032042258885857,490.1535419293031,542.6829590473658
w13,4096,1024,65536,8,606.971212,564.0871575,n,0.9293474654939647,905.7362244191575,974.5937424359817
w2,512,4096,1024,4,7.6028565,7.243892000000001,n,0.9527855747376004,564.9149495324554,592.908797646348
w2,512,4096,1024,8,4.0242125,3.8318865,n,0.9522077922077922,1067.2814360573652,1120.8492986418048
w2,512,4096,2048,4,14.8894855,14.3068855,n,0.960871717159065,576.9127880207815,600.4056293034567
w2,512,4096,2048,8,8.020679000000001,7.6469115,n,0.9533995189185352,1070.9734913964264,1123.3207801607225
w2,512,4096,4096,4,30.0243735,28.6187405,n,0.9531836026486948,572.1974243359316,600.3013718930083
w2,512,4096,4096,8,16.256757999999998,15.321838,n,0.9424903784629138,1056.7832272584733,1121.2668600203187
w2,512,4096,8192,4,60.052597000000006,57.2532985,n,0.9533858877077371,572.1607404922055,600.1355252571168
w2,512,4096,8192,8,32.2925175,30.6342465,n,0.9486484446435617,1064.0154756593379,1121.6119961690588
w2,512,4096,16384,4,120.06802099999999,114.53503549999999,n,0.953917908749408,572.3378811748718,599.9865144844698
w2,512,4096,16384,8,64.42600350000001,61.1919965,n,0.9498027686910612,1066.6419303193313,1123.0141303854991
w2,512,4096,32768,4,239.9347105,229.102768,n,0.9548546249209741,572.818135340197,599.9008858417634
w2,512,4096,32768,8,129.01116000000002,122.582734,n,0.9501715510503121,1065.3260808754837,1121.1934094405171
w2,512,4096,65536,4,479.57892100000004,457.5304985,n,0.95402545538485,573.1651140355269,600.7859756785153
w2,512,4096,65536,8,257.389295,244.053174,n,0.948186963253464,1067.9461511559757,1126.3033479089274
