active_streams,min_team_threads,max_team_threads,stream_bytes,working_set_bytes,passes,median_ms,p10_ms,p90_ms,bandwidth_gbs
1,96,96,16777216,16777216,170,0.441608,0.362359,0.56055,6458.5
2,48,48,16777216,33554432,170,0.752941,0.682265,0.847334,7575.96
3,32,32,16777216,50331648,170,0.990463,0.927468,1.0925,8638.77
4,24,24,16777216,67108864,170,1.29016,1.22876,1.34801,8842.72
5,19,20,16777216,83886080,170,1.58842,1.56205,1.7442,8977.87
6,16,16,16777216,100663296,170,1.88301,1.85489,1.95722,9087.96
7,13,14,16777216,117440512,170,2.23582,2.2136,2.24097,8929.55
8,12,12,16777216,134217728,170,2.42708,2.39187,2.46476,9401
9,10,11,16777216,150994944,170,2.79206,2.78552,2.81144,9193.61
10,9,10,16777216,167772160,170,3.12779,3.09662,3.16578,9118.66
11,8,9,16777216,184549376,170,3.9155,3.89925,3.9594,8012.61
12,8,8,16777216,201326592,170,7.80236,7.69286,7.8551,4386.56
16,6,6,16777216,268435456,170,30.7457,30.6672,30.8146,1484.24
24,4,4,16777216,402653184,170,80.8234,77.5257,83.0221,846.921
32,3,3,16777216,536870912,170,123.751,122.534,128.946,737.511
